,pi0_zinb,alpha_zinb,beta_zinb,mean_zinb,activemean_zinb,cv_zinb,loglike_zinb
Tspan12,0.253689080064421,0.3792195231372577,0.738384119555756,0.3832905714987112,0.5135802803633056,1.968069449980964,-412.50163196345255
Tshz1,0.0,0.18421905479817013,0.43247656471133233,0.42596309217617817,0.42596309217617817,2.329875556988518,-420.4468694314838
Fnbp1l,0.0,0.22788013219166367,0.41033114559916534,0.5553566543405162,0.5553566543405162,2.094820275070728,-497.5341389323511
Adamts15,0.7286703067490158,0.07557553003096332,0.34696198261574857,0.05910124569264858,0.21782078100084315,7.173007770702519,-85.14601419315977
Cldn12,0.0,0.07399555775491608,0.5241273568763186,0.14117858338078934,0.14117858338078934,3.6761834533944597,-194.52998759011427
Rxfp1,0.8515272838951002,0.05860555666336866,1.8310798288576782,0.004752019021518186,0.03200600855284929,10.984546164742872,-14.596113959601944
2310042E22Rik,0.0,0.008276559842155385,0.33745464047368523,0.024526436591707775,0.024526436591707775,10.991958252245848,-41.438602208062775
Sema3c,0.025045440043570604,0.26006426333470484,0.4425727451046589,0.5729020646310266,0.5876192472566408,1.9924033321684742,-511.2438998774152
Jam2,0.4236959908307668,8.40541366644276,11.00419946939118,0.44020227079406354,0.7638369051581541,0.9703778168638069,-473.8645522348002
Apbb1ip,0.0,0.05254243490698251,0.9302148375511751,0.05648419352813422,0.05648419352813422,4.362595053084289,-103.89456957259083
Frem2,0.0,0.06300650838154848,0.817620304448663,0.0770608411248238,0.0770608411248238,3.9838895866396142,-131.09500346841435
BC005764,0.0,0.05508755858583236,0.9918149002633487,0.05554217684288207,0.05554217684288207,4.2606242736482,-103.2116777842125
Deptor,0.0,0.09637824163056588,4.685710532628826,0.020568543651904754,0.020568543651904754,3.2211466737810786,-51.89824177676731
C130030K03Rik,0.0,0.021357686138737904,0.5962945310892417,0.03581734365351995,0.03581734365351995,6.842627523939263,-66.58441897855545
Klhl13,0.0,0.0957299325733803,0.4908742026220252,0.1950192779780132,0.1950192779780132,3.2320355086406387,-246.18391862001417
Tnfaip8l3,0.0,0.02921906441198599,0.4879575292385306,0.05988034339296504,0.05988034339296504,5.850147917480328,-95.91499819277577
Ascl1,0.6814568503059948,0.4395986575977312,4.001484545384539,0.03499479740686615,0.10985889177175023,3.046401285277766,-81.04263245772074
Atp1b2,0.24717612625818744,0.6117666150331361,0.1344977311343142,3.4242400155824013,4.5485273979990355,1.581024035411151,-1174.9694041520434
Tmem132e,0.0,1647.6534659618096,102125.98817583917,0.01613353755877399,0.01613353755877399,0.02463582224530904,-45.40215721860295
